0	1	2
0	2	3
4	5	1
0	4	1
6	7	5
5	4	6
8	9	7
6	8	7
0	3	10
0	10	4
10	3	11
9	12	13
12	9	8
13	14	15
14	13	12
15	16	17
16	15	14
6	4	18
10	18	4
6	19	8
18	19	6
8	20	12
20	8	19
21	10	11
22	10	21
22	18	10
21	11	23
14	12	24
20	24	12
17	25	26
17	16	25
27	26	25
26	27	28
16	14	29
29	14	24
30	25	16
30	16	29
18	31	19
22	31	18
20	19	32
32	19	31
24	20	33
32	33	20
23	34	21
35	21	34
22	21	35
22	35	31
36	31	35
34	23	37
38	34	37
29	24	39
39	24	33
30	40	25
27	25	41
41	25	40
27	42	28
27	41	42
30	29	43
29	39	43
30	43	40
36	44	31
32	31	44
44	45	32
32	45	33
45	46	33
39	33	46
38	47	34
34	47	35
36	35	47
36	47	48
36	48	44
38	37	49
38	49	50
38	50	47
46	51	39
51	43	39
52	40	43
40	53	41
52	53	40
41	54	42
54	41	53
55	43	51
52	43	55
48	56	44
44	56	45
56	57	45
45	57	46
57	58	46
46	58	51
59	47	50
47	59	48
60	48	59
48	60	56
61	50	49
61	49	62
63	59	50
61	63	50
58	64	51
55	51	64
52	65	53
52	55	65
53	66	54
66	53	65
64	67	55
67	65	55
68	56	60
56	68	57
68	69	57
58	57	69
69	70	58
64	58	70
60	59	71
59	63	71
60	72	68
71	72	60
61	62	73
61	73	63
62	74	73
75	71	63
63	73	75
70	76	64
67	64	76
77	65	67
65	78	66
77	78	65
67	76	79
77	67	79
80	76	70
68	81	69
72	81	68
69	82	70
70	82	80
82	69	81
72	71	83
75	83	71
81	72	84
83	84	72
85	75	73
74	86	73
85	73	86
87	86	74
88	83	75
85	88	75
76	89	79
76	80	89
79	90	77
77	90	78
79	91	90
91	79	89
92	80	82
93	89	80
93	80	92
82	81	94
92	82	94
84	94	81
84	83	95
88	95	83
96	94	84
95	96	84
85	86	97
85	97	88
86	87	98
97	86	98
98	87	99
88	97	100
95	88	100
93	101	89
91	89	102
89	101	102
91	103	90
91	102	103
93	92	104
